cleaned_text,category,source
in every district not being a metropolitan area there shall be established as many courts of judicial magistrates of the first class and of the second class and at such places as the state government may after consultation with the high court by notification specify provided that the state government may after consultation with the high court establish for any local area one or more special courts of judicial magistrates of the first class or of the second class to try any particular case or particular class of cases and where any such special court is established no other court of magistrate in the local area shall have jurisdiction to try any case or class of cases for the trial of which such special court of judicial magistrate has been established the presiding officers of such courts shall be appointed by the high court the high court may whenever it appears to it to be expedient or necessary confer the powers of a judicial magistrate of the first class or of the second class on any member of the judicial service of the state functioning as a judge in a civil court state amendments andaman and nicobar islands ut union territories of andaman and nicobar islands dadra and nagar haveli and lakshadweep in the code as it applies to the union territories to which this regulation extends in subsection of section for the words any member of the judicial service of the state functioning as a judge in a civil court the words any person discharging the functions of a civil court shall be substituted vide andaman and nicobar islands ut act of s uttar pradesh amendment of section in section of the said code after subsection the following subsection shall be inserted and be deemed always to have been inserted namely a the state government may likewise establish as many courts of judicial magistrates of the first class and of the second class in respect to particular cases or to a particular class or particular classes of cases or in regard to cases generally in any local area vide uttar pradesh act of s bihar amendment of section after subsection of section of the code of criminal procedure of hereinafter referred to as the said code the following subsection shall be inserted and shall be deemed always to have been inserted namely the state government may likewise establish for any local area one or more courts of judicial magistrate of the first class or second class to try any particular cases or particular class or categories of cases vide bihar act of s,Court Procedure,CrPC
in every district not being a metropolitan area the high court shall appoint a judicial magistrate of the first class to be the chief judicial magistrate the high court may appoint any judicial magistrate of the first class to be an additional chief judicial magistrate and such magistrate shall have all or any of the powers of a chief judicial magistrate under this code or under any other law for the time being in force as the high court may direct a the high court may designate any judicial magistrate of the first class in any subdivision as the subdivisional judicial magistrate and relieve him of the responsibilities specified in this section as occasion requires b subject to the general control of the chief judicial magistrate every subdivisional judicial magistrate shall also have and exercise such powers of supervision and control over the work of the judicial magistrates other than additional chief judicial magistrates in the subdivision as the high court may by general or special order specify in this behalf state amendment uttar pradesh in section of the said code after subsection the following subsection shall be inserted namely where the office of the chief judicial magistrate is vacant or he is incapacitated by illness absence or otherwise for the performance of his duties the seniormost among the additional chief judicial magistrate and other judicial magistrate present at the place and in their absence the district magistrates present at the place and in their absence the district magistrate and in his absence the seniormost executive magistrate shall dispose of the urgent work of the chief judicial magistrate vide uttar pradesh act of s,Court Procedure,CrPC
the high court may if requested by the central or state government so to do confer upon any person who holds or has held any post under the government all or any of the powers conferred or conferrable by or under this code on a judicial magistrate of the first class or of the second class in respect to particular cases or to particular classes of cases in any local area not being a metropolitan area provided that no such power shall be conferred on a person unless he possesses such qualification or experience in relation to legal affairs as the high court may by rules specify such magistrates shall be called special judicial magistrates and shall be appointed for such term not exceeding one year at a time as the high court may by general or special order direct the high court may empower a special judicial magistrate to exercise the powers of a metropolitan magistrate in relation to any metropolitan area outside his local jurisdiction state amendments assam for section of the code the following shall be substituted namely the state government may appoint as may persons as it thinks fit to be sub divisional magistrates in any district in the state of assam the state government or subject to the control of the state government the district magistrate may place one or more subdivisional magistrates in charge of a subdivision vide assam act of s himachal pradesh amendment of section in subsection of section of the code of criminal procedure of in its application to the state of himachal pradesh for the words in any district the words in any local area shall be substituted vide himachal pradesh act of s andhra pradesh and telangana amendment of section act of in the code of criminal procedure hereinafter referred to as the principal act in section in subsection for the words not exceeding one year at a time the words not exceeding two years at a time shall be substituted and to the said subsection the following proviso shall be added namely provided that any person who is holding the office of special judicial magistrate at the commencement of the code of criminal procedure andhra pradesh amendment act and has not completed sixty five years of age shall continue to hold office for a term of two years from the date of his appointment vide andhra pradesh act of s uttar pradesh amendment of section in section of said code for the words secondclass the words first or secondclass shall be substituted and for the words in any district the words in any local area shall be substituted vide uttara pradesh act of s bihar amendment of section in section of the said code for the word in any district the words in any local area shall be substituted and shall be deemed to have been always substituted vide bihar act of s,Court Procedure,CrPC
subject to the control of the high court the chief judicial magistrate may from time to time define the local limits of the areas within which the magistrates appointed under section or under section may exercise all or any of the powers with which they may respectively be invested under this code provided that the court of special judicial magistrate may hold its sitting at any place within the local area for which it is established except as otherwise provided by such definition the jurisdiction and powers of every such magistrate shall extend throughout the district where the local jurisdiction of a magistrate appointed under section or section or section extends to an area beyond the district or the metropolitan area as the case may be in which he ordinarily holds court any reference in this code to the court of session chief judicial magistrate or the chief metropolitan magistrate shall in relation to such magistrate throughout the area within his local jurisdiction be construed unless the context otherwise requires as a reference to the court of session chief judicial magistrate or chief metropolitan magistrate as the case may be exercising jurisdiction in relation to the said district or metropolitan area state amendment maharashtra insertion of section a in act of after section of the code of criminal procedure of in its application to the state of maharashtra hereinafter referred to as the said code the following section shall be inserted namely a investing judicial magistrates with jurisdiction in specified cases or local areathe high court may invest any judicial magistrate with all or any of the powers conferred or conferrable by or under this code upon a judicial magistrate in respect to particular cases or to a particular class or classes of cases or in regard to cases generally in any local area consisting of all or any of the districts specified by it in this behalf vide maharashtra act of s,Court Procedure,CrPC
every chief judicial magistrate shall be subordinate to the sessions judge and every other judicial magistrate shall subject to the general control of the sessions judge be subordinate to the chief judicial magistrate the chief judicial magistrate may from time to time make rules or give special orders consistent with this code as to the distribution of business among the judicial magistrates subordinate to him state amendment bihar amendment of section after subsection of section of the said code the following subsection shall be substituted and shall be deemed always to have been substituted namely any judicial magistrate exercising powers over any local area extending beyond the district in which he holds his court shall be subordinate to the chief judicial magistrate of the said district and reference in the code to the sessions judge shall be deemed to be reference to the sessions judge of that district where he holds his court vide bihar act of s,Court Procedure,CrPC
in every metropolitan area there shall be established as many courts of metropolitan magistrates and at such places as the state government may after consultation with the high court by notification specify the presiding officers of such courts shall be appointed by the high court the jurisdiction and powers of every metropolitan magistrate shall extend throughout the metropolitan area state amendment uttar pradesh in section of the said code after subsection the following subsection shall be inserted namely where the office of the chief metropolitan magistrate is vacant or he is incapacitated by illness absence or otherwise for the performance of his duties the seniormost among the additional chief metropolitan magistrate and other metropolitan magistrate present at the place shall dispose of the urgent work of the chief metropolitan magistrate vide uttar pradesh act of s,Court Procedure,CrPC
the high court shall in relation to every metropolitan area within its local jurisdiction appoint a metropolitan magistrate to be the chief metropolitan magistrate for such metropolitan area the high court may appoint any metropolitan magistrate to be an additional chief metropolitan magistrate and such magistrate shall have all or any of the powers of a chief metropolitan magistrate under this code or under any other law for the time being in force as the high court may direct,Court Procedure,CrPC
the high court may if requested by the central or state government so to do confer upon any person who holds or has held any post under the government all or any of the powers conferred or conferrable by or under this code on a metropolitan magistrate in respect to particular cases or to particular classes of cases in any metropolitan area within its local jurisdiction provided that no such power shall be conferred on a person unless he possesses such qualification or experience in relation to legal affairs as the high court may by rules specify such magistrates shall be called special metropolitan magistrates and shall be appointed for such term not exceeding one year at a time as the high court may by general or special order direct the high court or the state government as the case may be may empower any special metropolitan magistrate to exercise in any local area outside the metropolitan area the powers of a judicial magistrate of the first class state amendment andhra pradesh and telangana amendment of section in section of the principal act in subsection for the words not exceeding one year at a time the words not exceeding two year at a time the words not exceeding two years at a time shall be substituted and to the said subsection the following proviso shall be added namely provided that a person who is holding the office of special metropolitan magistrate at the commencement of the code of criminal procedure andhra pradesh amendment act and has not completed sixty five years of age shall continue to hold office for a term of two years from the date of his appointment vide the andhra pradesh act of s maharashtra amendment of section of act of in section of the said code in subsection for the words in any metropolitan area the words in one or more metropolitan areas shall be substituted vide maharashtra act of s,Court Procedure,CrPC
the chief metropolitan magistrate and every additional chief metropolitan magistrate shall be subordinate to the sessions judge and every other metropolitan magistrate shall subject to the general control of the sessions judge be subordinate to the chief metropolitan magistrate the high court may for the purposes of this code define the extent of the subordination if any of the additional chief metropolitan magistrates to the chief metropolitan magistrate the chief metropolitan magistrate may from time to time make rules or give special orders consistent with this code as to the distribution of business among the metropolitan magistrates and as to the allocation of business to an additional chief metropolitan magistrate,Court Procedure,CrPC
in every district and in every metropolitan area the state government may appoint as many persons as it thinks fit to be executive magistrates and shall appoint one of them to be the district magistrate the state government may appoint any executive magistrate to be an additional district magistrate and such magistrate shall have such of the powers of a district magistrate under this code or under any other law for the time being in force as may be directed by the state government whenever in consequence of the office of a district magistrate becoming vacant any officer succeeds temporarily to the executive administration of the district such officer shall pending the orders of the state government exercise all the powers and perform all the duties respectively conferred and imposed by this code on the district magistrate the state government may place an executive magistrate in charge of a subdivision and may relieve him of the charge as occasion requires and the magistrate so placed in charge of a subdivision shall be called the subdivisional magistrate a the state government may by general or special order and subject to such control and directions as it may deem fit to impose delegate its powers under subsection to the district magistrate nothing in this section shall preclude the state government from conferring under any law for the time being in force on a commissioner of police all or any of the powers of an executive magistrate in relation to a metropolitan area state amendment uttar pradesh in section of the said code after subsection the following subsection shall be inserted namely the state government may delegate its powers under subsection to the district magistrate vide uttar pradesh act of s,Court Procedure,CrPC
the state government may appoint for such term as it may think fit executive magistrates to be known as special executive magistrates for particular areas or for the performance of particular functions and confer on such special executive magistrates such of the powers as are conferrable under this code on executive magistrates as it may deem fit state amendment uttar pradesh amendment of section in section of the said code in subsection the following proviso shall be inserted and deemed always to have been inserted namely provided that nothing in this subsection shall be construed to prohibit the state government from exercising its control over assistant public prosecutor through police officers vide the uttar pradesh act of s,Court Procedure,CrPC
subject to the control of the state government the district magistrate may from time to time define the local limits of the areas within which the executive magistrates may exercise all or any of the powers with which they may be invested under this code except as otherwise provided by such definition the jurisdiction and powers of every such magistrate shall extend throughout the district,Court Procedure,CrPC
all executive magistrates other than the additional district magistrate shall be subordinate to the district magistrate and every executive magistrate other than the subdivisional magistrate exercising powers in a subdivision shall also be subordinate to the subdivisional magistrate subject however to the general control of the district magistrate the district magistrate may from time to time make rules or give special orders consistent with this code as to the distribution of business among the executive magistrates subordinate to him and as to the allocation of business to an additional district magistrate,Court Procedure,CrPC
public prosecutors for every high court the central government or the state government shall after consultation with the high court appoint a public prosecutor and may also appoint one or more additional public prosecutors for conducting in such court any prosecution appeal or other proceeding on behalf of the central government or state government as the case may be the central government may appoint one or more public prosecutors for the purpose of conducting any case or class of cases in any district or local area for every district the state government shall appoint a public prosecutor and may also appoint one or more additional public prosecutors for the district provided that the public prosecutor or additional public prosecutor appointed for one district may be appointed also to be a public prosecutor or an additional public prosecutor as the case may be for another district the district magistrate shall in consultation with the sessions judge prepare a panel of names of persons who are in his opinion fit to be appointed as public prosecutors or additional public prosecutors for the district no person shall be appointed by the state government as the public prosecutor or additional public prosecutor for the district unless his name appears in the panel of names prepared by the district magistrate under subsection notwithstanding anything contained in subsection where in a state there exists a regular cadre of prosecuting officers the state government shall appoint a public prosecutor or an additional public prosecutor only from among the persons constituting such cadre provided that where in the opinion of the state government no suitable person is available in such cadre for such appointment that government may appoint a person as public prosecutor or additional public prosecutor as the case may be from the panel of names prepared by the district magistrate under subsection explanationfor the purposes of this subsection a regular cadre of prosecuting officers means a cadre of prosecuting officers which includes therein the post of a public prosecutor by whatever name called and which provides for promotion of assistant public prosecutors by whatever name called to that post b prosecuting officer means a person by whatever name called appointed to perform the functions of a public prosecutor an additional public prosecutor or an assistant public prosecutor under this code a person shall be eligible to be appointed as a public prosecutor or an additional public prosecutor under subsection or subsection or subsection or subsection only if he has been in practice as an advocate for not less than seven years the central government or the state government may appoint for the purposes of any case or class of cases a person who has been in practice as an advocate for not less than ten years as a special public prosecutor provided that the court may permit the victim to engage an advocate of his choice to assist the prosecution under this subsection for the purposes of subsection and subsection the period during which a person has been in practice as a pleader or has rendered whether before or after the commencement of this code service as a public prosecutor or as an additional public prosecutor or assistant public prosecutor or other prosecuting officer by whatever name called shall be deemed to be the period during which such person has been in practice as an advocate state amendments karnataka amendment of section in section of the code of criminal procedure central act of hereinafter referred to as the principal act in subsection i the words and punctuation mark or the state government shall shall be omitted and ii for the words appoint a public prosecutor the words or the state government shall appoint a public prosecutor shall be substituted vide karnataka act of s maharashtra amendment of section in section of the code of criminal procedure of in its application to the state of maharashtra a in subsection the proviso shall be deleted b after subsection the following subsection shall be inserted namely a notwithstanding anything contained in subsection the state government may subject to the provisions of subsections and appoint a person who has been in practice as an advocate for not less than seven years as the public prosecutor or additional public prosecutor for the district vide maharashtra act of s maharashtra amendment of section of act ii of in section of the code of criminal procedure of in its application to the state of maharashtra a in subsection the words after consultation with the high court shall be deleted b in subsection for the words in consultation with the sessions judge the words with the approval of the state government shall be substituted vide maharashtra act of s madhya pradesh amendment of section in section of the principal act i in subsection for the words brackets and figure notwithstanding anything contained in subsection the words brackets letter and figures notwithstanding anything contained in subsection but subject to the provisions of subsection a shall be substituted and shall be deemed to have been substituted with effect from th december ii after subsection the following subsection shall be inserted and shall be deemed to have been inserted with effect from th december namely a notwithstanding anything contained in subsection the state government may appoint a person who has been in practice as an advocate for not less than seven years as the public prosecutor or additional public prosecutor for the district and it shall not be necessary to appoint the public prosecutor or additional public prosecutor for the district from among the person constituting the cadre of prosecuting officers in the state of madhya pradesh and the provisions of subsections and shall apply to the appointment of a public prosecutor additional public prosecutor under this subsection iii in subsection after the words bracket and figure subsection the words brackets figure and letter or subsection a shall be inserted and shall be deemed to have been inserted with effect from th december and iv in subsection for the words brackets and figure subsection the words brackets figures and letter subsection a and subsection shall be substituted and shall be deemed to have been substituted with effect from th december vide madhya pradesh act of s west bengal in subsection of section of the principal act for the words shall appoint a public prosecutor or an additional public prosecutor only the words may also appoint a public prosecutor or an additional public prosecutor shall be substituted vide west bengal act of s west bengal in subsection of section of the principal act the proviso shall be omitted vide west bengal act of s state amendment jammu and kashmir and ladakh uts section after subsection insert the following subsection namely anotwithstanding anything contained in subsection and subsection the government of the union territory of jammu and kashmir may appoint a person who has been in practice as an advocate for not less than seven years as public prosecutor or additional public prosecutor for high court and for the district courts and it shall not be necessary to appoint public prosecutor or additional public prosecutor for the high court in consultation with high court and public prosecutor or additional public prosecutor for the district court from amongst the person constituting the cadre of prosecution for the state of jammu and kashmir vide the jammu and kashmir reorganization adaptation of central laws order vide notification no so e dated and vide union territory of ladakh reorganisation adaptation of central laws order notification no soe dated jammu and kashmir and ladakh uts section in subsection for subsection substitute subsection or subsection a vide order no e dated th october the union territory of jammu and kashmir reorganisation adaptation of central laws third order wef uttar pradesh in section of the code of criminal procedure a in subsection after words public prosecutor the words and one or more additional public prosecutors shall be inserted and be deemed always to have been inserted b after subsection the following subsection shall be inserted and be deemed always to have been inserted namely for the purposes of subsection and the period during which a person has been in practice as a pleader or has rendered service as a public prosecutor additional public prosecutor or assistant public prosecutor shall be deemed to be the period during which such person has been in practice as an advocate vide uttar pradesh act of s uttar pradesh in section of the code of criminal procedure hereinafter referred to as said code a in subsection the words after consultation with the high court shall be omitted b subsection and shall be omitted c in subsection the words or subsection shall be omitted vide uttar pradesh act of s bihar amendment of section of the code of criminal procedure act ii of in its application to the state of biharfor subsection of section of the code of criminal procedure act ii of the following subsection shall be substituted and shall always be deemed to have been substituted namely notwithstanding anything contained in subsection wherein a state there exists a regular cadre of prosecuting officers the state government may also appoint a public prosecutor or an additional public prosecutor from among the persons constituting such cadre vide bihar act of s,Court Procedure,CrPC
